sample	well	conc	GAP_conc	sensor_conc	date	fit	slope	intercept	percent_fit	k_est	f_plateau_est	cutoff_time	Time	raw_fluo	row	column	condition	buffer_background_fluo	fluorescence	mean_no_GAP_fluorescence	corrected_fluorescence	cal_slope	cal_intercept	product_conc
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	0	6225	G	1	20190207-PE1_WT-G1-5-0-20	5471.5	753.5	748.26	5.240000000000009	3.713e-4	0.1462813	0.14813780000000001
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	4	6227	G	1	20190207-PE1_WT-G1-5-0-20	5505	722	748.26	-26.25999999999999	3.713e-4	0.1462813	0.1366275
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	8	6228	G	1	20190207-PE1_WT-G1-5-0-20	5519.5	708.5	748.26	-39.75999999999999	3.713e-4	0.1462813	0.1318006
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	12	6266	G	1	20190207-PE1_WT-G1-5-0-20	5532.5	733.5	748.26	-14.759999999999991	3.713e-4	0.1462813	0.14108310000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	16	6299	G	1	20190207-PE1_WT-G1-5-0-20	5536	763	748.26	14.740000000000009	3.713e-4	0.1462813	0.1514795
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	20	6246	G	1	20190207-PE1_WT-G1-5-0-20	5475.5	770.5	748.26	22.24000000000001	3.713e-4	0.1462813	0.1544499
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	24	6236	G	1	20190207-PE1_WT-G1-5-0-20	5494	742	748.26	-6.259999999999991	3.713e-4	0.1462813	0.1440535
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	28	6260	G	1	20190207-PE1_WT-G1-5-0-20	5557.5	702.5	748.26	-45.75999999999999	3.713e-4	0.1462813	0.1295728
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	32	6316	G	1	20190207-PE1_WT-G1-5-0-20	5544	772	748.26	23.74000000000001	3.713e-4	0.1462813	0.1548212
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	36	6265	G	1	20190207-PE1_WT-G1-5-0-20	5503.5	761.5	748.26	13.240000000000009	3.713e-4	0.1462813	0.1511082
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	40	6268	G	1	20190207-PE1_WT-G1-5-0-20	5531.5	736.5	748.26	-11.759999999999991	3.713e-4	0.1462813	0.142197
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	44	6285	G	1	20190207-PE1_WT-G1-5-0-20	5526	759	748.26	10.740000000000009	3.713e-4	0.1462813	0.1499943
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	48	6290	G	1	20190207-PE1_WT-G1-5-0-20	5578	712	748.26	-36.25999999999999	3.713e-4	0.1462813	0.1329145
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	52	6337	G	1	20190207-PE1_WT-G1-5-0-20	5569.5	767.5	748.26	19.24000000000001	3.713e-4	0.1462813	0.153336
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	56	6359	G	1	20190207-PE1_WT-G1-5-0-20	5560	799	748.26	50.74000000000001	3.713e-4	0.1462813	0.1648463
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	60	6216	G	1	20190207-PE1_WT-G1-5-0-20	5533.5	682.5	748.26	-65.75999999999999	3.713e-4	0.1462813	0.1221468
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	64	6308	G	1	20190207-PE1_WT-G1-5-0-20	5548.5	759.5	748.26	11.240000000000009	3.713e-4	0.1462813	0.15036560000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	68	6341	G	1	20190207-PE1_WT-G1-5-0-20	5540	801	748.26	52.74000000000001	3.713e-4	0.1462813	0.1655889
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	72	6309	G	1	20190207-PE1_WT-G1-5-0-20	5551.5	757.5	748.26	9.240000000000009	3.713e-4	0.1462813	0.149623
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	76	6285	G	1	20190207-PE1_WT-G1-5-0-20	5582.5	702.5	748.26	-45.75999999999999	3.713e-4	0.1462813	0.1295728
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	80	6323	G	1	20190207-PE1_WT-G1-5-0-20	5573	750	748.26	1.740000000000009	3.713e-4	0.1462813	0.1466526
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	84	6314	G	1	20190207-PE1_WT-G1-5-0-20	5588	726	748.26	-22.25999999999999	3.713e-4	0.1462813	0.1381127
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	88	6321	G	1	20190207-PE1_WT-G1-5-0-20	5583	738	748.26	-10.259999999999991	3.713e-4	0.1462813	0.1425683
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	92	6357	G	1	20190207-PE1_WT-G1-5-0-20	5567.5	789.5	748.26	41.24000000000001	3.713e-4	0.1462813	0.1615046
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	96	6357	G	1	20190207-PE1_WT-G1-5-0-20	5560	797	748.26	48.74000000000001	3.713e-4	0.1462813	0.16410370000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	100	6371	G	1	20190207-PE1_WT-G1-5-0-20	5583	788	748.26	39.74000000000001	3.713e-4	0.1462813	0.16076200000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	104	6287	G	1	20190207-PE1_WT-G1-5-0-20	5608	679	748.26	-69.25999999999999	3.713e-4	0.1462813	0.12066160000000001
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	108	6398	G	1	20190207-PE1_WT-G1-5-0-20	5628.5	769.5	748.26	21.24000000000001	3.713e-4	0.1462813	0.1540786
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	112	6359	G	1	20190207-PE1_WT-G1-5-0-20	5619	740	748.26	-8.259999999999991	3.713e-4	0.1462813	0.1433109
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	116	6364	G	1	20190207-PE1_WT-G1-5-0-20	5588.5	775.5	748.26	27.24000000000001	3.713e-4	0.1462813	0.1563064
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	120	6350	G	1	20190207-PE1_WT-G1-5-0-20	5617	733	748.26	-15.259999999999991	3.713e-4	0.1462813	0.1407118
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	124	6360	G	1	20190207-PE1_WT-G1-5-0-20	5593.5	766.5	748.26	18.24000000000001	3.713e-4	0.1462813	0.1529647
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	128	6360	G	1	20190207-PE1_WT-G1-5-0-20	5615.5	744.5	748.26	-3.759999999999991	3.713e-4	0.1462813	0.1451674
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	132	6414	G	1	20190207-PE1_WT-G1-5-0-20	5637.5	776.5	748.26	28.24000000000001	3.713e-4	0.1462813	0.1566777
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	136	6393	G	1	20190207-PE1_WT-G1-5-0-20	5648.5	744.5	748.26	-3.759999999999991	3.713e-4	0.1462813	0.1451674
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	140	6368	G	1	20190207-PE1_WT-G1-5-0-20	5660.5	707.5	748.26	-40.75999999999999	3.713e-4	0.1462813	0.1314293
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	144	6426	G	1	20190207-PE1_WT-G1-5-0-20	5628.5	797.5	748.26	49.24000000000001	3.713e-4	0.1462813	0.164475
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	148	6390	G	1	20190207-PE1_WT-G1-5-0-20	5640	750	748.26	1.740000000000009	3.713e-4	0.1462813	0.1466526
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	152	6403	G	1	20190207-PE1_WT-G1-5-0-20	5645	758	748.26	9.740000000000009	3.713e-4	0.1462813	0.149623
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	156	6370	G	1	20190207-PE1_WT-G1-5-0-20	5624.5	745.5	748.26	-2.759999999999991	3.713e-4	0.1462813	0.1455387
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	160	6384	G	1	20190207-PE1_WT-G1-5-0-20	5641	743	748.26	-5.259999999999991	3.713e-4	0.1462813	0.1444248
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	164	6386	G	1	20190207-PE1_WT-G1-5-0-20	5640.5	745.5	748.26	-2.759999999999991	3.713e-4	0.1462813	0.1455387
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	168	6378	G	1	20190207-PE1_WT-G1-5-0-20	5649	729	748.26	-19.25999999999999	3.713e-4	0.1462813	0.1392266
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	172	6350	G	1	20190207-PE1_WT-G1-5-0-20	5677	673	748.26	-75.25999999999999	3.713e-4	0.1462813	0.1184338
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	176	6390	G	1	20190207-PE1_WT-G1-5-0-20	5603.5	786.5	748.26	38.24000000000001	3.713e-4	0.1462813	0.1603907
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	180	6394	G	1	20190207-PE1_WT-G1-5-0-20	5619	775	748.26	26.74000000000001	3.713e-4	0.1462813	0.1559351
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	184	6440	G	1	20190207-PE1_WT-G1-5-0-20	5606.5	833.5	748.26	85.24000000000001	3.713e-4	0.1462813	0.1778418
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	188	6456	G	1	20190207-PE1_WT-G1-5-0-20	5644	812	748.26	63.74000000000001	3.713e-4	0.1462813	0.1696732
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	192	6437	G	1	20190207-PE1_WT-G1-5-0-20	5650.5	786.5	748.26	38.24000000000001	3.713e-4	0.1462813	0.1603907
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	196	6397	G	1	20190207-PE1_WT-G1-5-0-20	5606	791	748.26	42.74000000000001	3.713e-4	0.1462813	0.16187590000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	200	6476	G	1	20190207-PE1_WT-G1-5-0-20	5644.5	831.5	748.26	83.24000000000001	3.713e-4	0.1462813	0.1770992
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	204	6481	G	1	20190207-PE1_WT-G1-5-0-20	5643.5	837.5	748.26	89.24000000000001	3.713e-4	0.1462813	0.17932700000000001
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	208	6426	G	1	20190207-PE1_WT-G1-5-0-20	5612	814	748.26	65.74000000000001	3.713e-4	0.1462813	0.1704158
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	212	6510	G	1	20190207-PE1_WT-G1-5-0-20	5623	887	748.26	138.74	3.713e-4	0.1462813	0.1975207
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	216	6468	G	1	20190207-PE1_WT-G1-5-0-20	5599	869	748.26	120.74000000000001	3.713e-4	0.1462813	0.19083730000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	220	6419	G	1	20190207-PE1_WT-G1-5-0-20	5636.5	782.5	748.26	34.24000000000001	3.713e-4	0.1462813	0.1589055
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	224	6459	G	1	20190207-PE1_WT-G1-5-0-20	5576.5	882.5	748.26	134.24	3.713e-4	0.1462813	0.1960355
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	228	6475	G	1	20190207-PE1_WT-G1-5-0-20	5650	825	748.26	76.74000000000001	3.713e-4	0.1462813	0.1745001
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	232	6435	G	1	20190207-PE1_WT-G1-5-0-20	5598.5	836.5	748.26	88.24000000000001	3.713e-4	0.1462813	0.1789557
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	236	6517	G	1	20190207-PE1_WT-G1-5-0-20	5620.5	896.5	748.26	148.24	3.713e-4	0.1462813	0.20123370000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	240	6474	G	1	20190207-PE1_WT-G1-5-0-20	5626	848	748.26	99.74000000000001	3.713e-4	0.1462813	0.18304
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	244	6442	G	1	20190207-PE1_WT-G1-5-0-20	5624.5	817.5	748.26	69.24000000000001	3.713e-4	0.1462813	0.171901
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	248	6483	G	1	20190207-PE1_WT-G1-5-0-20	5603.5	879.5	748.26	131.24	3.713e-4	0.1462813	0.1949216
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	252	6454	G	1	20190207-PE1_WT-G1-5-0-20	5625	829	748.26	80.74000000000001	3.713e-4	0.1462813	0.1759853
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	256	6478	G	1	20190207-PE1_WT-G1-5-0-20	5601	877	748.26	128.74	3.713e-4	0.1462813	0.1938077
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	260	6459	G	1	20190207-PE1_WT-G1-5-0-20	5597.5	861.5	748.26	113.24000000000001	3.713e-4	0.1462813	0.18823820000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	264	6460	G	1	20190207-PE1_WT-G1-5-0-20	5583.5	876.5	748.26	128.24	3.713e-4	0.1462813	0.1938077
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	268	6439	G	1	20190207-PE1_WT-G1-5-0-20	5586.5	852.5	748.26	104.24000000000001	3.713e-4	0.1462813	0.18489650000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	272	6500	G	1	20190207-PE1_WT-G1-5-0-20	5594	906	748.26	157.74	3.713e-4	0.1462813	0.20457540000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	276	6492	G	1	20190207-PE1_WT-G1-5-0-20	5594	898	748.26	149.74	3.713e-4	0.1462813	0.201605
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	280	6482	G	1	20190207-PE1_WT-G1-5-0-20	5589	893	748.26	144.74	3.713e-4	0.1462813	0.1997485
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	284	6502	G	1	20190207-PE1_WT-G1-5-0-20	5602.5	899.5	748.26	151.24	3.713e-4	0.1462813	0.20234760000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	288	6427	G	1	20190207-PE1_WT-G1-5-0-20	5577.5	849.5	748.26	101.24000000000001	3.713e-4	0.1462813	0.18378260000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	292	6431	G	1	20190207-PE1_WT-G1-5-0-20	5581.5	849.5	748.26	101.24000000000001	3.713e-4	0.1462813	0.18378260000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	296	6452	G	1	20190207-PE1_WT-G1-5-0-20	5538.5	913.5	748.26	165.24	3.713e-4	0.1462813	0.2075458
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	300	6474	G	1	20190207-PE1_WT-G1-5-0-20	5594	880	748.26	131.74	3.713e-4	0.1462813	0.1949216
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	304	6469	G	1	20190207-PE1_WT-G1-5-0-20	5596.5	872.5	748.26	124.24000000000001	3.713e-4	0.1462813	0.1923225
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	308	6417	G	1	20190207-PE1_WT-G1-5-0-20	5591	826	748.26	77.74000000000001	3.713e-4	0.1462813	0.1748714
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	312	6495	G	1	20190207-PE1_WT-G1-5-0-20	5581.5	913.5	748.26	165.24	3.713e-4	0.1462813	0.2075458
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	316	6467	G	1	20190207-PE1_WT-G1-5-0-20	5559	908	748.26	159.74	3.713e-4	0.1462813	0.205318
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	320	6501	G	1	20190207-PE1_WT-G1-5-0-20	5599.5	901.5	748.26	153.24	3.713e-4	0.1462813	0.2030902
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	324	6378	G	1	20190207-PE1_WT-G1-5-0-20	5572	806	748.26	57.74000000000001	3.713e-4	0.1462813	0.1674454
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	328	6464	G	1	20190207-PE1_WT-G1-5-0-20	5563.5	900.5	748.26	152.24	3.713e-4	0.1462813	0.2027189
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	332	6452	G	1	20190207-PE1_WT-G1-5-0-20	5563.5	888.5	748.26	140.24	3.713e-4	0.1462813	0.1982633
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	336	6516	G	1	20190207-PE1_WT-G1-5-0-20	5589.5	926.5	748.26	178.24	3.713e-4	0.1462813	0.21237270000000003
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	340	6440	G	1	20190207-PE1_WT-G1-5-0-20	5538	902	748.26	153.74	3.713e-4	0.1462813	0.2030902
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	344	6432	G	1	20190207-PE1_WT-G1-5-0-20	5560.5	871.5	748.26	123.24000000000001	3.713e-4	0.1462813	0.19195120000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	348	6473	G	1	20190207-PE1_WT-G1-5-0-20	5545.5	927.5	748.26	179.24	3.713e-4	0.1462813	0.212744
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	352	6388	G	1	20190207-PE1_WT-G1-5-0-20	5573	815	748.26	66.74000000000001	3.713e-4	0.1462813	0.1707871
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	356	6493	G	1	20190207-PE1_WT-G1-5-0-20	5547.5	945.5	748.26	197.24	3.713e-4	0.1462813	0.2194274
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	360	6487	G	1	20190207-PE1_WT-G1-5-0-20	5571.5	915.5	748.26	167.24	3.713e-4	0.1462813	0.2082884
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	364	6415	G	1	20190207-PE1_WT-G1-5-0-20	5553	862	748.26	113.74000000000001	3.713e-4	0.1462813	0.18823820000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	368	6498	G	1	20190207-PE1_WT-G1-5-0-20	5563.5	934.5	748.26	186.24	3.713e-4	0.1462813	0.2153431
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	372	6444	G	1	20190207-PE1_WT-G1-5-0-20	5555	889	748.26	140.74	3.713e-4	0.1462813	0.1982633
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	376	6387	G	1	20190207-PE1_WT-G1-5-0-20	5519.5	867.5	748.26	119.24000000000001	3.713e-4	0.1462813	0.190466
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	380	6436	G	1	20190207-PE1_WT-G1-5-0-20	5518	918	748.26	169.74	3.713e-4	0.1462813	0.20903100000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	384	6414	G	1	20190207-PE1_WT-G1-5-0-20	5566	848	748.26	99.74000000000001	3.713e-4	0.1462813	0.18304
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	388	6460	G	1	20190207-PE1_WT-G1-5-0-20	5501.5	958.5	748.26	210.24	3.713e-4	0.1462813	0.22425430000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	392	6430	G	1	20190207-PE1_WT-G1-5-0-20	5543	887	748.26	138.74	3.713e-4	0.1462813	0.1975207
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	396	6499	G	1	20190207-PE1_WT-G1-5-0-20	5534	965	748.26	216.74	3.713e-4	0.1462813	0.22648210000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	400	6461	G	1	20190207-PE1_WT-G1-5-0-20	5529	932	748.26	183.74	3.713e-4	0.1462813	0.2142292
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	404	6434	G	1	20190207-PE1_WT-G1-5-0-20	5528.5	905.5	748.26	157.24	3.713e-4	0.1462813	0.20457540000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	408	6436	G	1	20190207-PE1_WT-G1-5-0-20	5541	895	748.26	146.74	3.713e-4	0.1462813	0.2004911
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	412	6429	G	1	20190207-PE1_WT-G1-5-0-20	5527	902	748.26	153.74	3.713e-4	0.1462813	0.2030902
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	416	6468	G	1	20190207-PE1_WT-G1-5-0-20	5516.5	951.5	748.26	203.24	3.713e-4	0.1462813	0.2216552
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	420	6404	G	1	20190207-PE1_WT-G1-5-0-20	5517.5	886.5	748.26	138.24	3.713e-4	0.1462813	0.1975207
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	424	6467	G	1	20190207-PE1_WT-G1-5-0-20	5542	925	748.26	176.74	3.713e-4	0.1462813	0.2116301
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	428	6429	G	1	20190207-PE1_WT-G1-5-0-20	5576	853	748.26	104.74000000000001	3.713e-4	0.1462813	0.18489650000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	432	6423	G	1	20190207-PE1_WT-G1-5-0-20	5544.5	878.5	748.26	130.24	3.713e-4	0.1462813	0.1945503
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	436	6369	G	1	20190207-PE1_WT-G1-5-0-20	5543	826	748.26	77.74000000000001	3.713e-4	0.1462813	0.1748714
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	440	6466	G	1	20190207-PE1_WT-G1-5-0-20	5557	909	748.26	160.74	3.713e-4	0.1462813	0.20568930000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	444	6460	G	1	20190207-PE1_WT-G1-5-0-20	5545.5	914.5	748.26	166.24	3.713e-4	0.1462813	0.20791710000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	448	6427	G	1	20190207-PE1_WT-G1-5-0-20	5540.5	886.5	748.26	138.24	3.713e-4	0.1462813	0.1975207
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	452	6433	G	1	20190207-PE1_WT-G1-5-0-20	5537	896	748.26	147.74	3.713e-4	0.1462813	0.2008624
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	456	6396	G	1	20190207-PE1_WT-G1-5-0-20	5511.5	884.5	748.26	136.24	3.713e-4	0.1462813	0.1967781
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	460	6428	G	1	20190207-PE1_WT-G1-5-0-20	5532.5	895.5	748.26	147.24	3.713e-4	0.1462813	0.2008624
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	464	6393	G	1	20190207-PE1_WT-G1-5-0-20	5522.5	870.5	748.26	122.24000000000001	3.713e-4	0.1462813	0.1915799
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	468	6422	G	1	20190207-PE1_WT-G1-5-0-20	5543.5	878.5	748.26	130.24	3.713e-4	0.1462813	0.1945503
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	472	6465	G	1	20190207-PE1_WT-G1-5-0-20	5566.5	898.5	748.26	150.24	3.713e-4	0.1462813	0.2019763
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	476	6440	G	1	20190207-PE1_WT-G1-5-0-20	5512	928	748.26	179.74	3.713e-4	0.1462813	0.212744
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	480	6449	G	1	20190207-PE1_WT-G1-5-0-20	5546.5	902.5	748.26	154.24	3.713e-4	0.1462813	0.20346150000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	484	6431	G	1	20190207-PE1_WT-G1-5-0-20	5534	897	748.26	148.74	3.713e-4	0.1462813	0.20123370000000002
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	488	6429	G	1	20190207-PE1_WT-G1-5-0-20	5546.5	882.5	748.26	134.24	3.713e-4	0.1462813	0.1960355
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	492	6444	G	1	20190207-PE1_WT-G1-5-0-20	5501.5	942.5	748.26	194.24	3.713e-4	0.1462813	0.2183135
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	496	6423	G	1	20190207-PE1_WT-G1-5-0-20	5538	885	748.26	136.74	3.713e-4	0.1462813	0.1967781
PE1_WT	G1	5	0	20	20190207	lin	1e-4	0.131	1	NA	NA	NA	500	6435	G	1	20190207-PE1_WT-G1-5-0-20	5541	894	748.26	145.74	3.713e-4	0.1462813	0.20011980000000001
