

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20190207_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	2/7/2019
Time	2:25:38 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:04, 901 Reads
    Read	Fluorescence Endpoint
	A1..A7
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7						Well ID
B													Well ID
C													Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	A1	A2	A3	A4	A5	A6	A7
0:00:00	30.0	5883	5379	5279	6307	6413	6202	6298
0:00:04	30.0	5944	5318	5281	6317	6415	6275	6376
0:00:08	30.0	5874	5344	5295	6328	6440	6256	6363
0:00:12	30.0	6015	5382	5275	6393	6507	6312	6396
0:00:16	30.0	5973	5397	5302	6360	6466	6305	6350
0:00:20	30.0	5934	5400	5338	6446	6522	6316	6347
0:00:24	30.0	5997	5372	5327	6457	6573	6341	6421
0:00:28	30.0	5971	5383	5309	6464	6529	6309	6384
0:00:32	30.0	6031	5406	5339	6454	6555	6336	6472
0:00:36	30.0	5990	5420	5356	6492	6514	6344	6415
0:00:40	30.0	6037	5412	5297	6514	6531	6337	6415
0:00:44	30.0	5942	5375	5377	6550	6551	6344	6398
0:00:48	30.0	5983	5395	5333	6608	6615	6338	6456
0:00:52	30.0	6035	5463	5375	6523	6567	6315	6482
0:00:56	30.0	5974	5443	5319	6606	6662	6392	6488
0:01:00	30.0	6005	5470	5364	6596	6605	6354	6442
0:01:04	30.0	5973	5407	5312	6649	6689	6423	6441
0:01:08	30.0	6022	5367	5380	6624	6664	6384	6470
0:01:12	30.0	6018	5372	5374	6661	6683	6393	6496
0:01:16	30.0	5970	5444	5303	6675	6704	6432	6498
0:01:20	30.0	5978	5441	5326	6686	6693	6388	6471
0:01:24	30.0	5983	5476	5300	6689	6618	6394	6515
0:01:28	30.0	6005	5456	5368	6745	6685	6460	6534
0:01:32	30.0	6023	5493	5334	6796	6687	6411	6392
0:01:36	30.0	6030	5410	5315	6793	6780	6477	6453
0:01:40	30.0	6001	5488	5345	6797	6793	6403	6515
0:01:44	30.0	6015	5427	5400	6818	6738	6425	6489
0:01:48	30.0	6045	5443	5382	6892	6818	6485	6552
0:01:52	30.0	6025	5445	5356	6874	6753	6409	6564
0:01:56	30.0	6042	5511	5371	6850	6804	6492	6532
0:02:00	30.0	6069	5477	5408	6903	6787	6449	6589
0:02:04	30.0	6045	5456	5385	6931	6837	6482	6522
0:02:08	30.0	6045	5454	5401	7007	6875	6481	6553
0:02:12	30.0	6489	5427	5457	7004	6843	6545	6512
0:02:16	30.0	6530	5465	5472	6985	6841	6476	6571
0:02:20	30.0	6478	5433	5426	7030	6910	6437	6475
0:02:24	30.0	6468	5467	5427	7031	6868	6525	6507
0:02:28	30.0	6528	5451	5468	7045	6900	6510	6519
0:02:32	30.0	6480	5452	5505	7086	6892	6551	6597
0:02:36	30.0	6460	5465	5552	7118	6924	6567	6562
0:02:40	30.0	6474	5418	5535	7107	6943	6554	6578
0:02:44	30.0	6473	5480	5537	7202	6979	6542	6595
0:02:48	30.0	6489	5476	5543	7143	6978	6530	6642
0:02:52	30.0	6470	5441	5476	7165	6968	6512	6595
0:02:56	30.0	6561	5462	5506	7181	7024	6609	6564
0:03:00	30.0	6483	5488	5517	7225	7053	6590	6536
0:03:04	30.0	6424	5458	5569	7240	7039	6583	6618
0:03:08	30.0	6450	5490	5575	7298	6993	6612	6587
0:03:12	30.0	6413	5483	5532	7241	7005	6589	6580
0:03:16	30.0	6458	5453	5531	7246	7042	6561	6597
0:03:20	30.0	6548	5433	5570	7269	7094	6587	6668
0:03:24	30.0	6448	5436	5511	7259	7086	6600	6548
0:03:28	30.0	6469	5470	5551	7286	7035	6566	6581
0:03:32	30.0	6438	5465	5581	7313	7105	6618	6643
0:03:36	30.0	6491	5476	5492	7291	7152	6637	6626
0:03:40	30.0	6500	5492	5531	7298	7087	6681	6595
0:03:44	30.0	6481	5416	5584	7353	7097	6611	6616
0:03:48	30.0	6438	5417	5525	7321	7117	6649	6640
0:03:52	30.0	6485	5486	5552	7375	7199	6683	6632
0:03:56	30.0	6501	5441	5499	7361	7174	6650	6674
0:04:00	30.0	6490	5490	5487	7394	7167	6645	6720
0:04:04	30.0	6498	5486	5552	7416	7138	6639	6630
0:04:08	30.0	6505	5452	5506	7437	7161	6658	6626
0:04:12	30.0	6495	5435	5521	7486	7129	6666	6649
0:04:16	30.0	6485	5437	5519	7458	7156	6729	6678
0:04:20	30.0	6513	5400	5525	7531	7228	6700	6672
0:04:24	30.0	6493	5471	5437	7521	7181	6728	6668
0:04:28	30.0	6488	5431	5522	7497	7222	6660	6645
0:04:32	30.0	6544	5457	5497	7474	7250	6760	6678
0:04:36	30.0	6475	5463	5456	7453	7266	6682	6705
0:04:40	30.0	6504	5477	5498	7577	7243	6726	6678
