

Software Version	3.03.14



Experiment File Path:	C:\Users\Public\Documents\Experiments\Tina\20181210_GAP_assay2.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\Tina\GAP_sensor_assay.prt



Plate Number	Plate 1
Date	12/10/2018
Time	3:28:46 PM
Reader Type:	Synergy H1
Reader Serial Number:	1803011C
Reading Type	Reader

Procedure Details

Plate Type	Costar 96 well half area
Set Temperature	Setpoint 30°C
Start Kinetic	Runtime 1:00:00 (HH:MM:SS), Interval 0:00:05, 721 Reads
    Read	Fluorescence Endpoint
	C1..C12
	Filter Set 1
	    Excitation: 425,  Emission: 457
	    Optics: Bottom,  Gain: 57
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 0 msec,  Measurements/Data Point: 5
	Read Height: 7 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12
A													Well ID
B													Well ID
C	SPL47	SPL48	SPL49	SPL50	SPL51	SPL52	SPL53	SPL54	SPL55	SPL56	SPL57	SPL58	Well ID
D													Well ID
E													Well ID
F													Well ID
G													Well ID
H													Well ID

425,457

Time	T° 425,457	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12
0:00:00	30.0	6881	6818	7152	6423	6444	6360	6525	6576	6747	6969	7228	7301
0:00:05	30.0	7071	7106	7412	6673	6755	6637	6802	6871	7004	7263	7494	7552
0:00:10	30.0	7262	7333	7585	6903	7046	6832	7124	7224	7297	7568	7884	7844
0:00:15	30.0	7446	7520	7799	7158	7280	7056	7416	7564	7595	7821	8069	8120
0:00:20	30.0	7563	7775	7995	7358	7551	7345	7698	7801	7932	8133	8362	8435
0:00:25	30.0	7742	7963	8231	7626	7802	7456	7985	7914	8141	8457	8551	8709
0:00:30	30.0	7924	8207	8402	7706	8103	7751	8241	8259	8489	8728	8930	9082
0:00:35	30.0	8113	8342	8429	8013	8321	7932	8514	8505	8644	8995	9214	9297
0:00:40	30.0	8161	8621	8578	8299	8616	8185	8748	8737	8894	9165	9513	9588
0:00:45	30.0	8378	8806	8803	8605	8845	8408	9038	8960	9132	9488	9867	9802
0:00:50	30.0	8493	8961	9003	8792	9068	8635	9248	9232	9370	9727	10182	10119
0:00:55	30.0	8680	9302	9105	8988	9375	8870	9593	9512	9630	10002	10602	10315
0:01:00	30.0	8856	9357	9369	9182	9610	9127	9878	9859	9897	10230	10879	10561
0:01:05	30.0	8919	9631	9466	9626	9782	9270	10147	10163	10160	10490	11275	10847
0:01:10	30.0	9188	9872	9701	9748	10027	9548	10481	10524	10407	10790	11543	11063
0:01:15	30.0	9300	10120	9937	9938	10242	9672	10656	10735	10771	10979	11862	11339
0:01:20	30.0	9507	10336	10071	10090	10475	9872	10983	11222	10907	11287	12064	11587
0:01:25	30.0	9700	10572	10302	10361	10826	10273	11227	11484	11159	11438	12306	11772
0:01:30	30.0	9863	10845	10427	10442	11014	10429	11508	11756	11492	11732	12571	12096
0:01:35	30.0	10112	10926	10619	10789	11194	10595	11648	12036	11712	11995	12725	12378
0:01:40	30.0	10135	11149	10877	10995	11490	10815	11918	12269	11937	12251	12965	12681
0:01:45	30.0	10273	11320	11099	11242	11715	11027	12272	12550	12162	12588	13165	12831
0:01:50	30.0	10431	11559	11204	11476	11980	11324	12516	12879	12442	12698	13607	13145
0:01:55	30.0	10584	11725	11466	11623	12190	11499	12793	13041	12581	13031	13771	13502
0:02:00	30.0	10827	11950	11534	11865	12574	11770	13009	13197	12902	13187	14177	13599
0:02:05	30.0	11009	12146	11765	12190	12642	11937	13141	13573	13214	13531	14312	13949
0:02:10	30.0	11108	12369	11853	12261	12861	12150	13464	13725	13436	13721	14675	14161
0:02:15	30.0	11242	12746	12115	12426	13142	12386	13701	14014	13581	13916	14871	14307
0:02:20	30.0	11394	12791	12301	12804	13364	12619	13935	14175	13812	14178	15131	14655
0:02:25	30.0	11568	13046	12509	13032	13749	12783	14135	14427	14126	14445	15299	14844
0:02:30	30.0	11815	13135	12619	13235	13848	13014	14536	14697	14505	14742	15551	15358
0:02:35	30.0	11821	13447	12753	13396	14163	13317	14715	14840	14668	14814	15703	15254
0:02:40	30.0	12014	13507	13056	13522	14412	13389	14871	14969	14800	15197	16041	15581
0:02:45	30.0	12046	13771	13118	13720	14597	13813	15074	15225	15059	15289	16241	15973
0:02:50	30.0	12207	14014	13340	14028	14826	13884	15299	15479	15293	15597	16605	16069
0:02:55	30.0	12261	14165	13540	14370	15094	14019	15552	15702	15537	15961	16809	16366
0:03:00	30.0	12413	14247	13696	14282	15428	14275	15836	16001	15694	16086	16895	16437
0:03:05	30.0	12466	14433	13827	14559	15537	14515	16067	16266	15973	16404	17369	16798
0:03:10	30.0	12701	14694	13962	14963	15705	14642	16240	16436	16191	16638	17532	17002
0:03:15	30.0	12598	14862	14301	15049	16009	15007	16589	16689	16238	16922	17780	17283
0:03:20	30.0	12884	14992	14285	15227	16098	15243	16744	16935	16567	16958	17865	17513
0:03:25	30.0	12954	15232	14422	15382	16328	15319	17023	17169	16841	17202	18094	17613
0:03:30	30.0	13026	15346	14629	15689	16556	15456	17204	17268	17126	17445	18375	18066
0:03:35	30.0	13037	15405	14886	15862	16870	15663	17555	17474	17231	17584	18650	18141
0:03:40	30.0	13071	15460	14971	15973	16997	15935	17647	17809	17486	17898	18733	18269
0:03:45	30.0	13011	15805	15135	16269	17222	16086	17892	18077	17762	18075	18815	18640
0:03:50	30.0	13203	15904	15326	16455	17462	16290	17907	18339	17903	18226	19213	18796
0:03:55	30.0	13221	16140	15482	16614	17681	16492	18203	18447	18185	18474	19342	18934
0:04:00	30.0	13305	16254	15637	16854	18069	16488	18523	18688	18281	18669	19623	19185
0:04:05	30.0	13239	16396	15676	16900	17966	16862	18841	18853	18582	19063	19690	19113
0:04:10	30.0	13411	16466	15810	17227	18364	17064	18991	18889	18599	19035	20052	19591
0:04:15	30.0	13296	16692	16053	17388	18416	17159	19185	19047	18871	19309	20030	19793
0:04:20	30.0	13308	16672	16228	17609	18582	17493	19387	19379	19125	19475	20425	19860
0:04:25	30.0	13409	16884	16254	17778	18823	17620	19793	19702	19183	19794	20477	20205
0:04:30	30.0	13486	16864	16548	18015	19233	17857	19898	19782	19607	19858	20746	20313
0:04:35	30.0	13304	16930	16460	18001	19284	18042	20188	19931	19675	20009	20768	20468
0:04:40	30.0	13438	17115	16665	18051	19511	18288	20204	20185	19828	20165	20878	20551
0:04:45	30.0	13426	16969	16937	18436	19498	18441	20552	20278	19934	20473	21052	20810
0:04:50	30.0	13429	17208	17111	18540	19815	18476	20709	20617	20029	20587	21284	20906
0:04:55	30.0	13307	17196	17161	18834	19952	18687	20690	20620	20255	20799	21488	21159
0:05:00	30.0	13350	17350	17215	18990	20104	18980	20930	20622	20536	20898	21615	21376
0:05:05	30.0	13384	17304	17284	19060	20363	19155	21193	21058	20771	21203	21818	21380
0:05:10	30.0	13403	17366	17526	19223	20419	19305	21383	21378	20829	21277	21945	21512
0:05:15	30.0	13407	17412	17542	19358	20601	19247	21449	21177	20996	21344	22099	21575
0:05:20	30.0	13291	17279	17659	19594	20652	19722	21633	21298	21207	21585	22323	21849
0:05:25	30.0	13482	17169	17508	19670	21122	19648	21969	21569	21260	21618	22536	22014
0:05:30	30.0	13386	17425	17405	19852	21114	20043	22089	21869	21602	21762	22624	22194
0:05:35	30.0	13323	17530	17778	19891	21145	20072	22310	21980	21666	22016	22615	22268
0:05:40	30.0	13407	17475	17910	19959	21445	20189	22603	22170	21697	22141	22818	22419
0:05:45	30.0	13410	17362	17852	20326	21313	20483	22595	22341	21890	22317	23000	22540
0:05:50	30.0	13298	17422	17977	20327	21509	20624	22811	22322	22195	22693	23264	22643
0:05:55	30.0	13230	17387	17973	20448	21585	20773	22890	22551	22087	22512	23278	22820
0:06:00	30.0	13366	17296	18033	20582	21983	21106	23025	22637	22367	22765	23393	22829
0:06:05	30.0	13396	17367	17939	20816	21964	21106	23206	22711	22383	22707	23606	22994
0:06:10	30.0	13390	17430	18077	20802	22158	21303	23188	22809	22523	22908	23575	23058
0:06:15	30.0	13455	17311	18038	21026	22067	21604	23187	22977	22658	23297	23704	23299
0:06:20	30.0	13383	17307	18016	21195	22124	21415	23704	23061	22826	23204	23816	23401
